experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	48 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	Y 	0 	9 	T 	0.0 	3 	0 	3.0 	HALBZGMFDESRIUXYJKPOVTNQ	DYAFTBEGOKLVQSIHNMRUXZPJ	ZEQLKYDUAFPSBGIRVXJMHOTN	NDRLAOIGZTHVYMJEUBQFPXKS	QENRUDPYXHTBJKAILSGVOMZF	YNQJORAULBPDSGIZKVTHMXFE	YDRLNHSPQFXIBUMJAOKTZGVE	JLPXESIYOMAFGTKHURQBZDNV	0
main	49 	IK4 	 oneCued 	 0.0 	 right 	 2 	 270 	N 	0 	8 	M 	0.0 	0 	0 	-5.0 	OSFNYGJLMPXQZHAIRUTKEBVD	FHTLDGIZQPAXJVBKYURNEOMS	-99	-99	-99	-99	-99	-99	0
main	50 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	F 	0 	10 	F 	1.0 	1 	0 	0.0 	AGXRDQBYHITSNZKJFLMEOUVP	TNSKOGVADUFPMQZELXYHBJIR	-99	-99	-99	-99	-99	-99	0
main	51 	IK4 	 oneCued 	 0.0 	 right 	 2 	 180 	B 	0 	9 	Y 	0.0 	1 	0 	-1.0 	JSOPMGNFAQTDRIBVYEKZULHX	NQVPOEXDBYLHRZKFUAIJSGTM	-99	-99	-99	-99	-99	-99	0
main	52 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	Y 	0 	6 	T 	0.0 	0 	0 	3.0 	LQJHKRTIXYFMOUBZPAGDSNVE	DELBFTQUGZIRMHOSNKJVYPAX	-99	-99	-99	-99	-99	-99	0
main	53 	IK4 	 oneCued 	 0.0 	 right 	 2 	 225 	P 	2 	6 	P 	1.0 	0 	0 	0.0 	DQYMNXPRVAFBZSTJEIUGHKLO	ZRSMDOKXGJBLEAFUPNHVYQTI	-99	-99	-99	-99	-99	-99	0
main	54 	IK4 	 oneCued 	 0.0 	 right 	 8 	 90 	X 	0 	6 	Y 	0.0 	1 	0 	13.0 	ZNRYUXGEMSFBHQJKPVILDTAO	TMURAOYKVEFQPDGNSBHXLIJZ	RNEOGFXSPIHULDYVJKMTAQBZ	GIKUONMXLSHPEJYRVZBATQDF	MPXKLAUHDZSQFBGIOVNTYJRE	NAQGUOEIZXDKYVFLRBHTMJPS	DVNMBORPZIFJHUEKSLXAGQTY	FRJLDNBYAQHMOEZGXPSVTUIK	0
main	55 	IK4 	 oneCued 	 0.0 	 right 	 8 	 90 	M 	0 	9 	O 	0.0 	7 	0 	2.0 	JYVBNARXZHLPKTIDESGQFUMO	UOXHSVEZQMJKLTNBGYAPFRDI	ITEXZFMKAJVSQUODHRNPGLYB	KMZJQAUIRNLYXFOGDSPEHTBV	LIZHYNGMJSQDRPXOKFABTUEV	UNQESAJIFZYMTPLOXHVRDKBG	FUSZJYDHIRKTEMNPOLQXVAGB	ATRPXZVYQOKMJNLBGHFSEIDU	0
main	56 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	O 	2 	10 	O 	1.0 	0 	0 	0.0 	QUMHISFAJROTLENZDBGPYXKV	VSADFPBZYJHGILNQOEMUKTXR	-99	-99	-99	-99	-99	-99	0
main	57 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	F 	0 	10 	Z 	0.0 	7 	0 	1.0 	NQZPUEXLSMJVBGFYDIAKRHOT	GLJDKBEQOHZMUXVATFYSNRIP	SAXLUDNZYFIKJPBHVMTEOGRQ	KYFUAGLVTIQRDJMXBHNZPSEO	NPOGHQUEVSTMLJBDAYZIFXRK	ULAQSPYDNTXVIGJKRBHEZMOF	ZUXTVOLSJYRHDBIMPNKFGAQE	JXHGBUIDAYZFNORMVEPTKQLS	0
main	58 	IK4 	 oneCued 	 0.0 	 right 	 2 	 90 	E 	0 	10 	S 	0.0 	0 	0 	-5.0 	XYPMREDFGUSLHBZOTJQNVAKI	PIXKNSMVJTOYGLBFEZUAQDHR	-99	-99	-99	-99	-99	-99	0
main	59 	IK4 	 oneCued 	 0.0 	 right 	 8 	 135 	Q 	0 	10 	Y 	0.0 	6 	0 	1.0 	MGTDQIKEVBNRUZHAJSFOYPLX	ADQIKJHOYSNBMRXFPGVZTULE	ZLUBPJITRNEDQKMSVYXAOGFH	VHGISRNEAOZPTLFMXBYJQDKU	BTNZQJMVRUXGOLFDSPHIEKYA	LQBHOPYKFSARXZVTJDIMUEGN	UMRIAVGBJDYQHOXKPTZSLEFN	VIRFOHLTADXPUNESJYBQMZGK	0
main	60 	IK4 	 oneCued 	 0.0 	 right 	 8 	 225 	M 	0 	10 	O 	0.0 	4 	0 	1.0 	IPNJGBZDMAESFUHLVKROYTXQ	NSQJILFOPZGYRVTDBAMKHXUE	XZFKINJSBEUPLQOTYGDMARVH	QUOELIVXPKANGZSDJHMFYRBT	YRQSPHZLEFOMNGJXKTABUDVI	YPTROMDLAGISHVBJUQFZKNXE	NIZEVAXGMPRBTKJUDYLFQHSO	IGPFHEZABXRMYQVJODKUSTLN	0
main	61 	IK4 	 oneCued 	 0.0 	 right 	 8 	 270 	A 	2 	8 	Q 	0.0 	6 	0 	1.0 	OSTHAMBGKXLFJVRIEYDQPUNZ	LSMRGYXIOTFDEAUHBPQZKJVN	RNZALTHJBDKGXQPVOSYUMIFE	GAVYXURPNOSTBFQZIEHMLKJD	MAHFPIZQOJSVDYUBXGKERNTL	LITQOBSFADHRUXJVYKNGZPME	NPVJFHYRQAMIXBLTSUGZKDEO	UTNSPJXZFAODMQHRVGKLBIYE	0
main	62 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	B 	0 	8 	K 	0.0 	5 	0 	1.0 	ZYSBQHGKAETRNJMVFOLIXPDU	NHPJIBDXMOLTUYRVQZEKSGAF	NOIETRALPJKYBXGMFVUZDSHQ	JXZGHYBLVDNFAOMPEUKSQTIR	LTBJSHMKYUOEXAZQVPFNIRDG	JFDNVATHKBOEQGSLMXPZYURI	DPMQOHNSLGRJBZKVXUEYIFAT	BNQFMJKRGATDVUYZHXISELOP	0
main	63 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	K 	0 	9 	H 	0.0 	1 	0 	2.0 	NKARIGXTDVMZFELSOQJHYPUB	OLJSBPIGNHTKEZRUQDVYAMXF	-99	-99	-99	-99	-99	-99	0
main	64 	IK4 	 oneCued 	 0.0 	 right 	 2 	 45 	A 	0 	10 	R 	0.0 	0 	0 	1.0 	EFMOUBTIVXRASJZHKQDNLYPG	NDYBEGLISROMZKFTUVXJAPHQ	-99	-99	-99	-99	-99	-99	0
main	65 	IK4 	 oneCued 	 0.0 	 right 	 8 	 45 	P 	0 	10 	Q 	0.0 	4 	0 	7.0 	ORQULJYDMBFGAEIHNPSKVTXZ	QZYKSPALDBNIOGJTVXERFMHU	GVTUBFRENLAXDKHJIQZOMSPY	BHUAONTISPKLXDVERGYZJFQM	VDUMHROZJNQBFXEKIPTYGASL	LIDSFYJNRTHQEZGOPUVKMXBA	HAUVBJQIZDMERKNXYGOSLPFT	NSFQARVMLHJGXZUOYBKDEIPT	0
main	66 	IK4 	 oneCued 	 0.0 	 right 	 2 	 225 	S 	0 	8 	Z 	0.0 	0 	0 	-3.0 	POALJSGKZBYRVNFHDTMUXEQI	DKPATBLVIZSMXQEJYNGORHUF	-99	-99	-99	-99	-99	-99	0
