experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	42	NC21	nStreams	0	right	2	180	Q	0	8	Z	False	6	90.0	0	1	VJMQXNBARIPEUODFGHTSLYZK	QUFJDBEVIYKXHSMPLOAZGNTR	HUKPNQTIDFJALVYEZOSRGMBX	HRPUASTQEKMDNLOYVGZIBXFJ	JYMBZFNXPVIGKESRADUOLTQH	JZDOLMQRHYUGTNEIAFSVKBXP	PGLYIAHFZQEUJORKMVNDBXTS	TKLHGFQSUIMEXDNAVJZYROBP	0
main	43	NC21	nStreams	0	right	2	270	Y	0	8	F	False	4	90.0	0	-1	FMDRUTBQNPIEZVKAHYLJSXOG	RVJHLZEPTASYKFNMDXOBUQGI	YSVAPHLENFXDUGJQTRZMBIKO	HDPUTMIJSZEFRYOKQXLGNAVB	NIXJELPYFVSBUGOHZKRMQTAD	SMBQJVKRXDLGIZPYEHNUTOFA	UIQDLMAJXTRGNSPOFKEYZBVH	BNXHRSZPTUYLJVKMDGEIAFOQ	2
main	44	NC21	nStreams	0	right	8	90	S	0	7	X	False	2	180.0	0	2	TOXUQSMHYKRLEFJNVZDGBIAP	GMNYTJVHIBFDSPLAQOZRXEKU	RIOFBHQXZSANKEJUTYGPDVLM	MIKYORLNAZXBPGQFEUJDTHSV	SGDOXIEZMRBJQLUHVYFTAPKN	DNVHJBXSZPAQGLIYUKMETROF	YRVBXKLAITGNZDFQHOPEUSJM	DPGVHXONJYQZBALRSFUITEMK	1
main	45	NC21	nStreams	0	right	8	225	P	0	8	P	True	2	-45.0	0	0	JINKTDEPFOMAQSVHBLRGUZXY	NSKPOTBILZUDEAFVQGXHJMRY	JMRQUHEVPDTZLONSFAKIXGYB	ZDGPVESONFLBUKHTXAYIRJQM	ESYALXVPFBGMDKOQHRNTUIZJ	HDGQSUETIBVNFLAYJXRMOPKZ	VZEROGDIFJMYPBHKNTQXALSU	RNISBEXYKJDAVOLPZTQFMUGH	1
main	46	NC21	nStreams	0	right	2	135	A	0	6	F	False	5	-1.40334185971e-14	0	2	UDAFERGTZSPOIJNHLKXBYMVQ	PXGVFATNJSZIQLDKUEBYORMH	JUKBRLQIVFGMXDOYHATPZESN	XZJBYHOQNMGSITREDUAPLVFK	ORGHIJPSABDEMXTLNZVQKYFU	VSHMZYFRAKDEIPUBLGOJNTXQ	ZBTHGKYQUPXVONLAEFJISMRD	PUOSVMEDZNIATKRBXQGFLYJH	1
main	47	NC21	nStreams	0	right	8	45	Q	0	6	O	False	0	45.0	0	10	LGUBEHORDAVYSFPJQINZXKTM	EOSVBTAPUJDIGXRLMQKNZYHF	YAOMSVXPETNKFZHQJLBIGRUD	ILPUDMKGEOSQAZXYVHTJBRFN	HERNABTDVXFIYMOUKLSGJQPZ	MNETXFHRDKIBQLPVOGJSYZAU	KBPNDYJIGVEQRULASOFXTZHM	YOPTDFLEVRIXQAGBHSNUMJKZ	2
main	48	NC21	nStreams	0	right	2	315	L	0	6	N	False	5	180.0	0	17	XPNQUMVTSHRBFJYGLZEOKAID	KTBIJQUXDEZVFHRSMOPYNLGA	KMLEIOHZURXAQGYPSDVBFNJT	LZEQAVBHRNYGPUFKOTDJMXIS	IABKUJRLPHSYVQFGTNMXZDEO	EAUOVMNSHZFJDKGBPYRITQXL	ILAYTMGSKDPXBFQVOJRZEUHN	FELRIBZOPADYJKMTUVQXSGHN	2
main	49	NC21	nStreams	0	right	8	180	T	0	8	L	False	7	135.0	0	6	TUKRELNQZAHBFSXMYOIJPGDV	ELSVUOGIZTDRBPANXQMFHYJK	XJQUIVDZOMYFAENTGKLSHRPB	FNDROHPJMGSKITUYZVLABEXQ	PABJTUZIXRLKNHDYOVFGQMSE	VQFLJOXZSDEGYUBMKPRNIATH	OELHGRSJFAIQNXYKPMTDVUZB	SARHXENULIZPMFTVKDYGOBQJ	0
main	50	NC21	nStreams	0	right	2	0	S	0	9	E	False	1	45.0	0	2	TXHNIUGOPEJAVDSBLMZYRQFK	XIOJFLQHKETSAUMDVZGRYNBP	GMSTHNPUAVDLRBEIQJFOYXKZ	AJHOGEKFNMYDITLRSXUZBQPV	GFAZPVNLMYTEXSODIBQJHURK	FEDQLNHPYUKXSZMVRBGJIATO	OXNRVLAMBQSFYHUKPGETDIJZ	REUQNYBTOKGZVDJALPMIFHSX	2
main	51	NC21	nStreams	0	right	2	315	X	0	9	R	False	0	-45.0	0	1	UQINLFYTDRXOVEHKJZAGBMSP	JZURQADIHYGSXPVKEBNTOFML	JLTQSPUNIZVDMXAGYRKOFHBE	XDNZITLVFPHUBEJMGOYASRKQ	QAPEHNMKBDXIFVTLGOSJRZYU	PNHXMZYTGVDIOABLUJFKESQR	TPLNZSYQXIHJDORGBKEMFUVA	VUPYGIAEQNOJLFKBZRHMXSTD	1
main	52	NC21	nStreams	0	right	2	135	U	0	9	O	False	4	-45.0	0	1	JLXOISKFMQPZVGRDHBYNEATU	NJRHZVIDGLOUFABYKSQPEXMT	LZRJOEFMXIHGYKBNTQDVUSPA	TNLVHQFYGPZXKABRIMJOUSED	JTEMAIZVPOUYNHXSQLDFGBRK	IANQDRTKLJPMOUGEFSYBZHXV	TUMXFYGPARIVZBHKNSODEJLQ	GMHOBSQVRXANTJYZULIPFDKE	1
main	53	NC21	nStreams	0	right	8	0	O	0	9	Q	False	1	45.0	0	6	NHJDEULTBQKRPZFAYOGVMSXI	ZFJKSGVIDQRYETBOLMNXPUHA	FPGDUQZBJONXHSTKYARIELVM	RGLDAEFXSNIPVBZUYTHMOQJK	RXTYZLJVSPBIDOHFUKAGENQM	DKQHUPANTOSJYFEVLGZXRIBM	PVTRFDQUGEYBXHLMKIZNASJO	LSHDNMFRJUBVIOPYAXEZKGQT	2
