"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",12,8,1,1,7,"J","MLACWFUJETORKXGSBZYHQIPD"
"AH",13,8,1,2,18,"O","ACMJFPUSXGWELIHBYTQOZRDK"
"AH",14,8,1,1,9,"P","XTIBMHKLUPYEWRFQDJSAGOZC"
"AH",15,8,1,0,13,"P","SHQEYTOFZWULPRKIBCGDAJMX"
"AH",16,8,1,1,10,"Y","TIMDHGKFSPYXWJUZRLECBAQO"
"AH",17,8,1,0,18,"Z","JWADFCQOMGETHBYXKZPISLRU"
"AH",18,8,1,1,12,"J","PABXODSMEHGLJCFKQZITYURW"
"AH",19,8,1,1,14,"A","UMQDLIYJSGRBCKAZPOFWTEHX"
"AH",20,8,1,0,8,"F","PLBAKDGFECTQZOMRHXISWYJU"
"AH",21,8,1,1,16,"D","JEUPAWLOKMXCYRHTDFZIQSGB"
"AH",22,8,1,1,8,"H","FAXSEYPZHJQGRTBCODWUIMKL"
"AH",23,8,1,-8,13,"W","GQXBWPLHKDSUEMJCIZAYFORT"
"AH",24,8,1,1,13,"G","HADZOUPYXJTQCGKIREWMBLFS"
"AH",25,8,1,1,14,"W","AUMGISLQHOZCFDWREXJKPBTY"
"AH",1,8,2,0,11,"O","KIDWFABGJXOHRUYZSPTLMQEC"
"AH",2,8,2,1,13,"S","GBTHYPXQDRWLMSCKFJOIUZEA"
"AH",3,8,2,1,14,"C","XFSGQZLJABOWEICHYURMDKTP"
"AH",4,8,2,6,7,"E","YUISDOHQZCXKEGRFAMBTJLWP"
"AH",5,8,2,1,13,"P","SHCGXDKJZMOWAPYRLBQUTEIF"
"AH",6,8,2,1,7,"S","OZDERLPSCUMFXKIWTABJYHQG"
"AH",7,8,2,1,15,"K","CRHGSTIEDPWXOFQKBLAZUJMY"
"AH",8,8,2,0,9,"C","IAWRHDJFCQOPZBYSMKTLGXEU"
"AH",9,8,2,1,7,"E","RPHLSOKEICMYBWFGJAXZTUQD"
"AH",10,8,2,1,11,"R","OCGKLPEAQMFRITSZBDWXUHJY"
"AH",11,8,2,0,17,"Z","HOIPRTSEGLJUBMXAZWCFDKYQ"
"AH",12,8,2,1,7,"U","TELDZBJUMWQAYCIFPGKSHORX"
"AH",13,8,2,1,18,"A","MUFYKEBPLWDQCGXJIZASHRTO"
"AH",14,8,2,0,9,"S","MFRJAGEWSYOKLUHIXDZQPBTC"
"AH",15,8,2,0,13,"S","AYTWOUHMFCELSXGRJPZKIBDQ"
"AH",16,8,2,-8,10,"P","ZPKEMWUCSRIJAXFTLOQGHYBD"
"AH",17,8,2,0,18,"A","CHJGOXBULYZPWFQTIARDESMK"
"AH",18,8,2,1,12,"S","JUAWLZIFEXBCSRQHOYTMGPDK"
"AH",19,8,2,1,14,"S","ZRABLTCWXFOPMQSGYHUDEKJI"
"AH",20,8,2,-1,8,"R","MFHWGPRBCJTUKSXIQDYLOZEA"
"AH",21,8,2,8,16,"E","JOKGCTMQPBWZHLUDFISYXRAE"
"AH",22,8,2,1,8,"A","WRYZDPBJAKMGQTFLIOUEHCXS"
"AH",23,8,2,0,13,"J","RSQPFYTUHIKZJGLAOMBWDCXE"
