"ID","date","exp","pool","block","trial","stream","condition","targetSP","SPE","rate","eccentricity","stimuli"
"EL","2012-11-27","Exp2","Experienced Observers",3,8,1,1,17,2,0,0,"GXZKAIDWMEOLUTNYQFBHRJSP"
"EL","2012-11-27","Exp2","Experienced Observers",3,9,1,1,16,1,0,0,"JPUHYZEWXFMKBTROANDLQGIS"
"EL","2012-11-27","Exp2","Experienced Observers",3,10,1,1,15,1,0,0,"LFNSHEBROTZYDMIWJPQKXGUA"
"EL","2012-11-27","Exp2","Experienced Observers",3,11,1,1,9,1,0,0,"YMPKUXJBQEWOFNSTAGDZRLIH"
"EL","2012-11-27","Exp2","Experienced Observers",3,12,1,1,15,1,0,0,"PYNMGRHIEDUTOKWBQFSJLZAX"
"EL","2012-11-27","Exp2","Experienced Observers",3,13,1,1,17,0,0,0,"OHBYSKRDFXZNMAILWUJTEGQP"
"EL","2012-11-27","Exp2","Experienced Observers",3,14,1,1,11,2,0,0,"EQWZIUPKTSYGNHABLMXDFJRO"
"EL","2012-11-27","Exp2","Experienced Observers",3,15,1,1,16,-1,0,0,"SLQJHRXIWYGKMZEDTFBNUOPA"
"EL","2012-11-27","Exp2","Experienced Observers",3,16,1,1,18,0,0,0,"ODESXMQRPTKBLWNHUFJYAZGI"
"EL","2012-11-27","Exp2","Experienced Observers",3,17,1,1,10,-2,0,0,"BODNWEXFKGILQPYMRSATHZUJ"
"EL","2012-11-27","Exp2","Experienced Observers",3,18,1,1,18,1,0,0,"JHQEDFROBUWXTAZILYPMKNGS"
"EL","2012-11-27","Exp2","Experienced Observers",3,19,1,1,15,1,0,0,"BDFUYQZGAKTPEIMSHLOJWNXR"
"EL","2012-11-27","Exp2","Experienced Observers",3,20,1,1,14,0,0,0,"ATXKNDIFQPLYSZMWJHOEURBG"
"EL","2012-11-27","Exp2","Experienced Observers",3,21,1,1,10,1,0,0,"GYKOLEZQDRATWNSBXPUFMHJI"
"EL","2012-11-27","Exp2","Experienced Observers",3,22,1,1,9,0,0,0,"GPQRLZJNWHDMBEIXAYUKFSOT"
"EL","2012-11-27","Exp2","Experienced Observers",3,23,1,1,18,1,0,0,"ZXQPKWIYSDJNOFHEMUATLBGR"
"EL","2012-11-27","Exp2","Experienced Observers",3,24,1,1,10,1,0,0,"IEYWGHZSJQRXBKTUMOPNDLAF"
"EL","2012-11-27","Exp2","Experienced Observers",3,25,1,1,7,2,0,0,"WDGKLMIBSHJOFZRUPEAQTXYN"
"EL","2012-11-27","Exp2","Experienced Observers",3,1,2,1,12,2,0,0,"WOZLIPSMBFQDGHANREXKUTJY"
"EL","2012-11-27","Exp2","Experienced Observers",3,2,2,1,12,1,0,0,"RQELDJXYGUOKTASNWMIZBFHP"
"EL","2012-11-27","Exp2","Experienced Observers",3,3,2,1,18,-1,0,0,"GYEXZJOQUPMHLFARNWIBKTSD"
"EL","2012-11-27","Exp2","Experienced Observers",3,4,2,1,13,2,0,0,"EAFWTGBKJNDRSUHLXOZYIMPQ"
"EL","2012-11-27","Exp2","Experienced Observers",3,5,2,1,15,1,0,0,"GMNQBDHPXKTEIFYLOZSJAWRU"
"EL","2012-11-27","Exp2","Experienced Observers",3,6,2,1,7,1,0,0,"GOPYNEKZRSBWHJUIDFAQLXMT"
"EL","2012-11-27","Exp2","Experienced Observers",3,7,2,1,18,2,0,0,"NMFZOEGKXJASWURPDLBHYQIT"
"EL","2012-11-27","Exp2","Experienced Observers",3,8,2,1,17,-1,0,0,"XTUJLEYAZHQRSKBNPMIOWFDG"
"EL","2012-11-27","Exp2","Experienced Observers",3,9,2,1,16,-7,0,0,"JZBPQAETNXGIMDOHWKLYRSFU"
"EL","2012-11-27","Exp2","Experienced Observers",3,10,2,1,15,4,0,0,"LJKZSAXEMBDTPQHWROINYGUF"
"EL","2012-11-27","Exp2","Experienced Observers",3,11,2,1,9,-4,0,0,"SAGTQDUEFKMLYJRWNXIPZBOH"
"EL","2012-11-27","Exp2","Experienced Observers",3,12,2,1,15,0,0,0,"MQJSBLTDOAURWXKEIPFZYHNG"
"EL","2012-11-27","Exp2","Experienced Observers",3,13,2,1,17,-6,0,0,"BTGOMERYLXSNIUHPFKZDJQWA"
"EL","2012-11-27","Exp2","Experienced Observers",3,14,2,1,11,1,0,0,"XQMURGZAOHJPSNKBWTDLYFIE"
"EL","2012-11-27","Exp2","Experienced Observers",3,15,2,1,16,0,0,0,"EPJTMDRHQLYNAWOSKFGBXIUZ"
"EL","2012-11-27","Exp2","Experienced Observers",3,16,2,1,18,1,0,0,"RTXZLMQONGBPIAYDFJWSKHUE"
"EL","2012-11-27","Exp2","Experienced Observers",3,17,2,1,10,1,0,0,"SARYUHWXPDZMJTFQOIEBNGKL"
"EL","2012-11-27","Exp2","Experienced Observers",3,18,2,1,18,1,0,0,"NQTKIPLAEDMJFRBZUSWOYXHG"
"EL","2012-11-27","Exp2","Experienced Observers",3,19,2,1,15,1,0,0,"KNTWLGQPUXYFHASROEBDIMZJ"
"EL","2012-11-27","Exp2","Experienced Observers",3,20,2,1,14,-13,0,0,"FKYXIHTNAZBUGJLQRSPEMDWO"
"EL","2012-11-27","Exp2","Experienced Observers",3,21,2,1,10,0,0,0,"DSJIYRMOZPAWBQGNUHXFTEKL"
"EL","2012-11-27","Exp2","Experienced Observers",3,22,2,1,9,0,0,0,"IUHKPNBLOJMWZFSXQGAETDRY"
"EL","2012-11-27","Exp2","Experienced Observers",3,23,2,1,18,4,0,0,"LYZWHQMTSPUOKNRAFJBIXDGE"
"EL","2012-11-27","Exp2","Experienced Observers",3,24,2,1,10,6,0,0,"WAFEYLHMBJSQTUIDRKXNZPGO"
"EL","2012-11-27","Exp2","Experienced Observers",3,25,2,1,7,1,0,0,"EGYONAMFSTHJUBLKXPDRZIQW"
"EL","2012-11-30","Exp2","Experienced Observers",4,1,1,1,9,-1,0,0,"JHQUZYNKTFLDIRMPGXBSOAWE"
"EL","2012-11-30","Exp2","Experienced Observers",4,2,1,1,8,2,0,0,"OIWNXHQDLSFPKYAZBTGEMRJU"
"EL","2012-11-30","Exp2","Experienced Observers",4,3,1,1,7,2,0,0,"OWFPLRDESYQZTINUMKXHJGBA"
"EL","2012-11-30","Exp2","Experienced Observers",4,4,1,1,12,1,0,0,"EFQRKTINXYGZBAOMWSLHJDUP"
"EL","2012-11-30","Exp2","Experienced Observers",4,5,1,1,10,1,0,0,"RJXIFZBHTQAPOMNKYWSELDGU"
"EL","2012-11-30","Exp2","Experienced Observers",4,6,1,1,18,0,0,0,"QXAOUMSEPBNFWYTRJZDIKHLG"
"EL","2012-11-30","Exp2","Experienced Observers",4,7,1,1,13,2,0,0,"INEZBRTFYKSPGJXWHADQUMLO"
"EL","2012-11-30","Exp2","Experienced Observers",4,8,1,1,10,2,0,0,"PINTDGEZMLRWSAJXBHKOYUQF"
"EL","2012-11-30","Exp2","Experienced Observers",4,9,1,1,8,-3,0,0,"RBSHXOYLQJZKWANFIDEPGTUM"
"EL","2012-11-30","Exp2","Experienced Observers",4,10,1,1,18,1,0,0,"AFWOINTRZPUSJKLGYEXMBDHQ"
"EL","2012-11-30","Exp2","Experienced Observers",4,11,1,1,8,3,0,0,"ZIPXUBKNYDWMSLQFGAHTROEJ"
"EL","2012-11-30","Exp2","Experienced Observers",4,12,1,1,12,-1,0,0,"NMDQWJHOIAKGUEZYFBPRTXLS"
"EL","2012-11-30","Exp2","Experienced Observers",4,13,1,1,16,1,0,0,"XSREOULHGWJMQFATBYZPNDKI"
"EL","2012-11-30","Exp2","Experienced Observers",4,14,1,1,11,0,0,0,"EKFBUMGYZJSOHWDINTPLXQRA"
