"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	64	"KR "	" oneCued "	0	" left "	"T "	"C "	0	0	0	2	"YDFBESAHQCPTXINOWMVUZRGJKL"	"NRKQHAMZTWGLJBSVCFUPYODIEX"	"DVPQNEHAMJBUTIKRXZWGFCOYLS"	"AORSCYTDXJFUNVLKMGHIEWQZPB"	"FHPAJRESCWZMKQYLOUTINVDGXB"	"MSBCEHIOGVKQAJUYFWLTXPDRZN"	0	9	11
"main"	65	"KR "	" oneCued "	0	" right "	"G "	"M "	0	4	0	13	"ILYCRTPKAWJVHBQZENFXDUOMSG"	"UFROMKXHVLNWBYTSIDGEPJCZQA"	"CUARXWFEMQNDTJIOZVSHKPYLGB"	"EPXFYJKLQGWMUHAIRCZBNODSTV"	"ARTSEYJBHMPXCVUOWFKQZNGDLI"	"SNPKLMYGEWADOHZRFQBVIUCTXJ"	0	9	22
"main"	66	"KR "	" oneCued "	0	" left "	"R "	"R "	1	1	0	0	"EXHGTNCPFDQJAZSIBMKOWYRLUV"	"QMAFOELYRPGSWIJVXKHNUBZDCT"	"GJYDTIQUXBFESKOWRHPMNCAVLZ"	"YRENDBJUOTIHKPACVQFSWGMZLX"	"VFUMTECNASBKIZDGPOWQXLHYRJ"	"KPEXRDLCOJZTFQHBGVAYUWMNSI"	0	8	8
"main"	67	"KR "	" oneCued "	0	" right "	"S "	"X "	0	5	0	2	"BZGQHEYDCVWAKPUFJTMRIXOLSN"	"LHUVSCAOGIYMBRKWQDZJTFNXEP"	"BAMGNEPFWYLZVOUSQJKCDRTXIH"	"BQFGUEKCARMIJOTWXHPVYLSZND"	"BPXRJHZUCNVYOLGDFQAKMWSTIE"	"PNYAUMBRJXGSDWEFCQKHILZOVT"	0	9	11
"main"	68	"KR "	" oneCued "	0	" left "	"T "	"V "	0	4	0	3	"QPGRMUJAEVCOKWSXLIDNHTYZFB"	"YSKXMUJEWCDLNROVPZTFBQIAGH"	"GMBTDRQOWZYESUAKVFNCPXIHLJ"	"IALTRXBHMUQNYGZOWSVDFKJECP"	"CWORMFJVPZTLQNKGHUEYABDXSI"	"UBWZMCYGXDIVOEJRPLHKFANQTS"	0	7	10
"main"	69	"KR "	" oneCued "	0	" right "	"B "	"S "	0	5	0	2	"LDHOUWNTAYBQCJIXKSGZVEPMFR"	"ZFLDIOHAPKGTMBCRENSXVUQJWY"	"MUOTJSNQCYHKIPGXDBFWVARLZE"	"CZJPHXBTEAFGIVMWUSKRDQLNYO"	"TBHSPVRWZQYFXELAMKGDJNIOUC"	"VZRPIUOSYBDMFQAWKTCEHNLJXG"	0	7	9
"main"	70	"KR "	" oneCued "	0	" right "	"W "	"W "	1	1	0	0	"XVKLOMAHIWPGCJQTBEYSRUFZDN"	"IMKJPZQVWLHUSAEORYNCTBDGFX"	"YHBGNKWJRZSAFVUMCQTOXILDEP"	"NSTMLIAYKVDWEOGRZQFHJPBUCX"	"IAEWGYFQVCHZRSJKBUXDLNPMTO"	"URQPYTIMWOSHCJNZAGLXDBFEVK"	0	8	8
"main"	71	"KR "	" oneCued "	0	" right "	"S "	"D "	0	3	0	1	"INWQSDRHKUFCLPOJGXYVMEZBTA"	"NTVXDKELPOIRHJMUZBQCAGYFSW"	"NXYQFDEBLASWGCOHUTPJVZRMIK"	"PXIJEMZQTKDSCYAUWOGHFRNVLB"	"ETBAXCDZRJQMNGWUYSIKOHLFVP"	"NBHRIVEAJYSZDLWMKTPGFCXUOQ"	0	10	11
"main"	72	"KR "	" oneCued "	0	" right "	"D "	"N "	0	5	0	1	"XSNPVEWIJKDHZOTGQYFUBMCARL"	"RAXDJEUNMTVFBIQYHOPLSGKZWC"	"QWFGZUHCNMIBTERPDXVJYOLAKS"	"IFPNOHJDXCMRZAVEQGUYWSBLTK"	"ZIPOEQJXADWMBSRUFGLKTVHNCY"	"ZSXCJKNDWHIBQEFTLUOMYRVGPA"	0	6	7
"main"	73	"KR "	" oneCued "	0	" left "	"B "	"A "	0	3	0	2	"XQJLBFGSMKOZINTHWPCVREAYDU"	"JRQHNIDTLAWUSPOFYZKEXVMBCG"	"PTDSHYIFKWCBZUEMRAJNLQVXOG"	"KYVMFPNATBQDWCURSLEIZXOJHG"	"EPTHRXOLMCZUDYSFJBVNQGWAIK"	"QZBYDJNKFLPACVXEWUHMTISORG"	0	7	9
