RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION
AM3	165	BEFORE	512.50	364.90	.	1118	2835	1718
AM3	166	NONE	509.00	374.50	.	7	518	512
AM3	166	AFTER	529.10	367.00	.	530	962	433
AM3	166	BEFORE	519.20	357.90	.	1185	1366	182
AM3	166	NONE	531.20	359.70	.	1382	2830	1449
AM3	167	NONE	515.60	377.00	.	7	2847	2841
AM3	168	AFTER	515.90	383.10	.	7	2493	2487
AM3	168	BEFORE	587.20	405.40	.	2786	2845	60
AM3	169	AFTER	504.60	377.60	.	7	329	323
AM3	169	BEFORE	496.30	386.20	.	635	1795	1161
AM3	169	NONE	515.40	377.30	.	1818	2841	1024
AM3	170	AFTER	502.80	386.00	.	7	466	460
AM3	170	BEFORE	502.80	387.40	.	747	2834	2088
AM3	171	AFTER	507.20	374.70	.	7	313	307
AM3	171	BEFORE	505.90	351.00	.	501	2847	2347
AM3	172	NONE	521.90	380.90	.	7	725	719
AM3	172	NONE	481.50	394.40	.	747	1024	278
AM3	172	AFTER	514.90	380.80	.	1044	1594	551
AM3	172	BEFORE	521.40	367.90	.	1859	2829	971
AM3	173	NONE	574.90	447.20	.	47	331	285
AM3	173	NONE	517.10	382.70	.	357	2830	2474
AM3	174	AFTER	514.80	371.10	.	7	472	466
AM3	174	BEFORE	514.30	360.20	.	644	1075	432
AM3	174	NONE	508.10	365.10	.	1084	2355	1272
AM3	174	NONE	550.00	339.60	.	2380	2832	453
AM3	175	NONE	506.50	367.60	.	7	2848	2842
AM3	176	AFTER	515.20	378.10	.	7	389	383
AM3	176	BEFORE	513.20	392.40	.	578	2830	2253
AM3	177	NONE	521.80	377.40	.	7	279	273
AM3	177	NONE	498.20	379.10	.	297	588	292
AM3	177	NONE	516.00	386.70	.	606	2839	2234
AM3	178	NONE	511.70	359.50	.	7	2837	2831
AM3	179	NONE	519.60	376.50	.	7	274	268
AM3	179	NONE	499.80	370.70	.	293	2849	2557
AM3	180	NONE	516.50	374.70	.	7	2830	2824
AM3	181	AFTER	516.00	382.30	.	7	299	293
AM3	181	BEFORE	513.70	383.50	.	566	2833	2268
AM3	182	AFTER	497.70	379.90	.	7	325	319
AM3	182	BEFORE	506.60	366.60	.	599	1021	423
