experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	53 	SH 	 oneCued 	 0.0 	 left 	G 	E 	0.0 	2 	0 	-8.0 	UYAWQKPTRMHGBCEODVILSNXFZJ	TDAQVZGNERXCYJFHPKLSUWMBOI	IUGBZHYAXTEMWSLPCROJVQNDFK	HYTLIUFJVDNAZOGRWSCQPXMBKE	AQVEKYHUOLWFIRPJTZGDXCBMSN	ASGRVYTMJZFPWEXKNLIOCUHBQD	0
main	54 	SH 	 oneCued 	 0.0 	 right 	A 	Q 	0.0 	1 	0 	4.0 	HNWCBPTJAMVFGDKYEQRUZXILOS	WBLGPFQCRXANMJVIZEUHODSYTK	NUTZSQCFEMOKVWDIYGARBLPXJH	ELIJVOPYNKQCHAUSBTGMZDWXFR	KGYOXQITSJFAUVWPNRZBMECHLD	PQTSLEZHOMRDUBWINJAKXCVFGY	1
main	55 	SH 	 oneCued 	 0.0 	 right 	Q 	V 	0.0 	1 	0 	3.0 	BFCKPYUHAQJEZSDMXINLTVGRWO	UGINJEBWVYLQCOPFRAHKDZMSXT	NHQPDCZJKIOTSLURFEWAXVYGMB	QNHERCMBYZXPWIAVLDKSGUOJFT	EVGITYZSRUBNDJQXMPCAWOLHKF	SFHJTNYRLAZQBXDEWMGCUPVOKI	0
main	56 	SH 	 oneCued 	 0.0 	 right 	M 	M 	1.0 	1 	0 	0.0 	IPTFYJLBEVWDMCGRUQKAXHZSNO	PLFNHWYIVKMETQUZDXROBSCGAJ	JGVRDCPOANZLTISFBYMKXUQHWE	NXLZPOFEQHRDGCWAYTSBUKVJMI	BNUPVGHLJRYISKODXCEQAZFTWM	VZDBSJLWIOKUFYMQCETPGRHNAX	0
main	57 	SH 	 oneCued 	 0.0 	 left 	S 	C 	0.0 	3 	0 	8.0 	KNWCUDTJYGHXVFOBISQZRLAEPM	XENBRZSDPOQVCFKWTMIYALJHUG	DYRQASHPLXITJWVKNBGFOMECZU	WORLBPXCZUEQYHISJDVATFGNKM	LDTNGHOUEQFKVYIWJAXRSBMCPZ	NUIZADGRBKWPCOSQXFYLHTEMJV	2
main	58 	SH 	 oneCued 	 0.0 	 left 	W 	F 	0.0 	1 	0 	-7.0 	IKFXQSLBGWCTJDRHYMVPOAEUNZ	WJVMGRSFCHLZNYDAIQXOETBKPU	XIJPHZLRAVTDMOECGNSFUWQYBK	HKSTPLWQNEZOBFMXUDGRCVJIYA	UWYSJZDGQTMHLOPBARVXIENCKF	KVIPFSNTUQWOGRLBCHAMYEXDJZ	0
main	59 	SH 	 oneCued 	 0.0 	 left 	J 	B 	0.0 	0 	0 	2.0 	UMVAPTBCJKEISDGQNRZFWXYLHO	QAESGHMJZFTLYDRPXIWOUNVBCK	MJERAGPULWQDXISFZKHVNCBOTY	OZNSHUQGXDTMFECWJABYPLVIKR	LOXGVCPDMNUYWFQTKSEBJZRIHA	MNYJCZSHOXPRLGVUFWEABQTIKD	0
main	60 	SH 	 oneCued 	 0.0 	 right 	P 	Y 	0.0 	2 	0 	-2.0 	WZBPRJEIHYDSUQKANVGXTLCOFM	SPRVHUYEBXKLZOMFIADWNGTQCJ	ZNMUPLYCTJQBWKSHDAGRFOIVEX	OJCPVXFEASWNDKMZQUTRLGHIBY	XHIZVKWBQASPJDCGRNLTFYEMUO	SAGHDNVWCKJERXZMBFTPQYULOI	2
main	61 	SH 	 oneCued 	 0.0 	 right 	M 	P 	0.0 	2 	0 	7.0 	ZWPNJEXAKFROITSQBDUHCLYVMG	TXGARLEWYNDBMZQPSFJIKHVUOC	LVBQRDNKUSPTXGIFAMWHYOZECJ	DJYHTEIBLPGACQMUVSWRONXKZF	OKIXJCEYGTWVARHZLFQDNBUPMS	IUJZYNLCFAGBPQSETXDWVHRKOM	1
main	62 	SH 	 oneCued 	 0.0 	 left 	S 	Z 	0.0 	0 	0 	5.0 	EROLTNDPMAZXFHQSGUWCBVJYKI	PERVLTHZSBKYQGOWDNMCAJIUFX	QTNADWGMKUIFPYJXZSELHBVCOR	YOAEHLJGWKDQBPIVNRFXSCMUTZ	LTQHBDEVNPZCXJIGMOYAKWSRUF	QUPKVYWNCATSBDIXZORMEJHFLG	0
main	63 	SH 	 oneCued 	 0.0 	 left 	B 	J 	0.0 	3 	0 	-7.0 	FBXTUNEPLKAVYWCDQOJSZIMRGH	YIVHRACLDEJNZWOFGTQXUKBMSP	WBLHONMCVJPUFZADIKESGQYRXT	LYBEVKCRAJZDSUHIWMONPQTXGF	QVTGZEXSKYMRHUIJPOFCALNBDW	CPEHUZRYWMBOGFXAQJTVNSIKLD	0
